scenario	tree_type	threshold	TP	FP	FN	TN	precision	recall	F1
humnea_50_10	.relate.trees	0.5	19134341	131776174	47058364	2322031121	12.679262939365094	28.907023817805904	17.626952746255906
humnea_50_10	.relate.trees	0.6	18934438	129288814	47258267	2324518481	12.774269721190572	28.605022260383528	17.66140754160382
humnea_50_10	.relate.trees	0.7	18877663	127237772	47315042	2326569523	12.919691201685845	28.519249968708788	17.78326822513729
humnea_50_10	.relate.trees	0.8	18778062	124406267	47414643	2329401028	13.114606976298363	28.368778704541537	17.937079001701782
humnea_50_10	.relate.trees	0.9	18303859	116549470	47888846	2337257825	13.573160659608188	27.652381028997077	18.20862479684628
humnea_50_10	.relate.trees	0.95	16786823	97520413	49405882	2356286882	14.685704586540785	25.360533309524065	18.60036397463421
humnea_50_10	.relate.trees	0.99	9268705	33775807	56924000	2360031488	21.532837914389642	14.00260799131868	16.969866597754866
humnea_50_10	.relate.trees	0.999	2723798	4219025	63468907	1889588270	39.23185136651187	4.114951942211759	7.448631532406521
humnea_50_10	.ts	0.5	25139442	225436886	41053263	2198370409	10.03264841521662	37.97917308259271	15.87241136667548
humnea_50_10	.ts	0.6	25137066	224585391	41055639	2199221904	10.066001392898356	37.975583563173615	15.91380789757726
humnea_50_10	.ts	0.7	25134824	223229115	41057881	2200578180	10.12015838579529	37.97219648298102	15.981111497361983
humnea_50_10	.ts	0.8	25131375	222225692	41061330	2201581603	10.159958356880097	37.96698593900944	16.030230122444483
humnea_50_10	.ts	0.9	25125132	219547985	41067573	2204259310	10.268856794757717	37.95755438609134	16.16461522746621
humnea_50_10	.ts	0.95	25069605	216384933	41123100	2207422362	10.382743355190119	37.87366749855592	16.29763020499423
humnea_50_10	.ts	0.99	24577920	190461622	41614785	2233345673	11.429488628654166	37.130859057655975	17.478735288844742
humnea_50_10	.ts	0.999	22404529	70344359	43788176	2353462936	24.156116028043375	33.84742925976511	28.192153579334015
humnea_50_10	_tsinfer.ts	0.5	17051243	195155883	49141462	2258651412	8.03518869578395	25.760003311543166	12.24946361407813
humnea_50_10	_tsinfer.ts	0.6	17039579	193577442	49153126	2260229853	8.090314315099919	25.74238203439488	12.311401948354952
humnea_50_10	_tsinfer.ts	0.7	16959896	191773521	49232809	2262033774	8.125146535592814	25.622001699431983	12.33778433029365
humnea_50_10	_tsinfer.ts	0.8	16913315	189455645	49279390	2264351650	8.195668088844368	25.551629896376042	12.410633755117393
humnea_50_10	_tsinfer.ts	0.9	16824184	183898442	49368521	2269908853	8.381807440084009	25.416976085204556	12.60638265847682
humnea_50_10	_tsinfer.ts	0.95	16619420	173174654	49573285	2280632641	8.756553695138027	25.107630818229893	12.984592458190978
humnea_50_10	_tsinfer.ts	0.99	14306056	115616865	51886649	2338190430	11.011187163810765	21.61273814085706	14.589409616957294
humnea_50_10	_tsinfer.ts	0.999	7348614	20634393	58844091	2213172902	26.260987605799478	11.101848761128586	15.606176675361903
